new_id,legacy_ref,chapterId
CIT-0740,Q324,canadian-symbols
CIT-0741,q-cs-016,canadian-symbols
CIT-0742,Q242,canadian-symbols
CIT-0743,q-cs-057,canadian-symbols
CIT-0744,Q302,canadas-economy
CIT-0745,Q422,canadas-economy
CIT-0746,Q305,canadas-economy
CIT-0747,Q297,canadas-economy
CIT-0748,q-ec-009,canadas-economy
CIT-0749,Q304,canadas-economy
CIT-0750,Q296,canadas-economy
CIT-0751,q-ec-002,canadas-economy
CIT-0752,q-ec-008,canadas-economy
CIT-0753,q-ec-004,canadas-economy
CIT-0754,q-ec-011,canadas-economy
CIT-0755,q-ec-006,canadas-economy
CIT-0756,q-ec-013,canadas-economy
CIT-0757,q-ec-015,canadas-economy
CIT-0758,q-ec-007,canadas-economy
CIT-0759,q-ec-001,canadas-economy
CIT-0760,q-ec-005,canadas-economy
CIT-0761,q-ec-014,canadas-economy
CIT-0762,Q298,canadas-economy
CIT-0763,q-ec-012,canadas-economy
CIT-0764,Q303,canadas-economy
CIT-0765,q-ec-003,canadas-economy
CIT-0766,Q077,canadas-economy
CIT-0767,Q300,canadas-economy
CIT-0768,q-ec-010,canadas-economy
CIT-0769,Q301,canadas-economy
CIT-0770,Q299,canadas-economy
CIT-0771,Q328,canadas-regions
CIT-0772,Q286,canadas-regions
CIT-0773,Q340,canadas-regions
CIT-0774,q-cr-050,canadas-regions
CIT-0775,Q281,canadas-regions
CIT-0776,Q334,canadas-regions
CIT-0777,Q331,canadas-regions
CIT-0778,Q482,canadas-regions
CIT-0779,q-cr-014,canadas-regions
CIT-0780,q-cr-019,canadas-regions
CIT-0781,Q098,canadas-regions
CIT-0782,Q335,canadas-regions
CIT-0783,q-cr-051,canadas-regions
CIT-0784,q-cr-053,canadas-regions
CIT-0785,q-cr-052,canadas-regions
CIT-0786,q-cr-028,canadas-regions
CIT-0787,q-cr-022,canadas-regions
CIT-0788,q-cr-021,canadas-regions
CIT-0789,q-cr-020,canadas-regions
CIT-0790,Q382,canadas-regions
CIT-0791,q-cr-055,canadas-regions
CIT-0792,q-cr-001,canadas-regions
CIT-0793,Q344,canadas-regions
CIT-0794,Q337,canadas-regions
CIT-0795,q-cr-002,canadas-regions
CIT-0796,q-cr-042,canadas-regions
CIT-0797,q-cr-004,canadas-regions
CIT-0798,q-cr-026,canadas-regions
CIT-0799,q-cr-027,canadas-regions
CIT-0800,q-cr-013,canadas-regions
CIT-0801,q-cr-060,canadas-regions
CIT-0802,q-cr-018,canadas-regions
CIT-0803,q-cr-023,canadas-regions
CIT-0804,q-cr-003,canadas-regions
CIT-0805,Q418,canadas-regions
CIT-0806,Q085,canadas-regions
CIT-0807,Q086,canadas-regions
CIT-0808,Q339,canadas-regions
CIT-0809,Q275,canadas-regions
CIT-0810,Q272,canadas-regions
CIT-0811,q-cr-039,canadas-regions
CIT-0812,q-cr-031,canadas-regions
CIT-0813,q-cr-030,canadas-regions
CIT-0814,Q267,canadas-regions
CIT-0815,q-cr-034,canadas-regions
CIT-0816,q-cr-037,canadas-regions
CIT-0817,q-cr-062,canadas-regions
CIT-0818,q-cr-043,canadas-regions
CIT-0819,Q354,canadas-regions
CIT-0820,Q099,canadas-regions
CIT-0821,Q342,canadas-regions
CIT-0822,Q345,canadas-regions
CIT-0823,q-cr-025,canadas-regions
CIT-0824,Q346,canadas-regions
CIT-0825,Q356,canadas-regions
CIT-0826,q-cr-046,canadas-regions
CIT-0827,q-cr-045,canadas-regions
CIT-0828,Q269,canadas-regions
CIT-0829,Q084,canadas-regions
CIT-0830,Q274,canadas-regions
CIT-0831,q-cr-041,canadas-regions
CIT-0832,Q347,canadas-regions
CIT-0833,Q279,canadas-regions
CIT-0834,q-cr-049,canadas-regions
CIT-0835,Q355,canadas-regions
CIT-0836,Q349,canadas-regions
CIT-0837,Q270,canadas-regions
CIT-0838,Q268,canadas-regions
CIT-0839,Q262,canadas-regions
CIT-0840,Q083,canadas-regions
CIT-0841,Q265,canadas-regions
CIT-0842,Q097,canadas-regions
CIT-0843,Q257,canadas-regions
CIT-0844,Q260,canadas-regions
CIT-0845,Q082,canadas-regions
CIT-0846,Q264,canadas-regions
CIT-0847,Q263,canadas-regions
CIT-0848,Q294,canadas-regions
CIT-0849,Q353,canadas-regions
CIT-0850,q-cr-057,canadas-regions
CIT-0851,Q280,canadas-regions
CIT-0852,q-cr-038,canadas-regions
CIT-0853,Q276,canadas-regions
CIT-0854,Q100,canadas-regions
CIT-0855,Q333,canadas-regions
CIT-0856,Q295,canadas-regions
CIT-0857,Q087,canadas-regions
CIT-0858,Q284,canadas-regions
CIT-0859,Q350,canadas-regions
CIT-0860,Q336,canadas-regions
CIT-0861,q-cr-061,canadas-regions
CIT-0862,Q283,canadas-regions
CIT-0863,Q292,canadas-regions
CIT-0864,Q289,canadas-regions
CIT-0865,q-cr-040,canadas-regions
CIT-0866,q-cr-009,canadas-regions
CIT-0867,Q271,canadas-regions
CIT-0868,Q343,canadas-regions
CIT-0869,Q080,canadas-regions
CIT-0870,q-cr-054,canadas-regions
CIT-0871,q-cr-044,canadas-regions
CIT-0872,Q492,canadas-regions
CIT-0873,q-cr-005,canadas-regions
CIT-0874,Q338,canadas-regions
CIT-0875,q-cr-011,canadas-regions
CIT-0876,Q285,canadas-regions
CIT-0877,q-cr-036,canadas-regions
CIT-0878,Q261,canadas-regions
CIT-0879,Q259,canadas-regions
CIT-0880,Q256,canadas-regions
CIT-0881,Q258,canadas-regions
CIT-0882,Q351,canadas-regions
CIT-0883,q-cr-056,canadas-regions
CIT-0884,Q341,canadas-regions
CIT-0885,Q332,canadas-regions
CIT-0886,Q291,canadas-regions
CIT-0887,q-cr-029,canadas-regions
CIT-0888,q-cr-064,canadas-regions
CIT-0889,q-cr-017,canadas-regions
CIT-0890,Q419,canadas-regions
CIT-0891,q-cr-047,canadas-regions
CIT-0892,Q329,canadas-regions
CIT-0893,Q089,canadas-regions
CIT-0894,Q293,canadas-regions
CIT-0895,Q266,canadas-regions
CIT-0896,q-cr-012,canadas-regions
CIT-0897,q-cr-048,canadas-regions
CIT-0898,Q273,canadas-regions
CIT-0899,Q278,canadas-regions
CIT-0900,q-cr-058,canadas-regions
CIT-0901,Q081,canadas-regions
CIT-0902,Q480,canadas-regions
CIT-0903,Q330,canadas-regions
CIT-0904,q-cr-032,canadas-regions
CIT-0905,q-cr-035,canadas-regions
CIT-0906,Q288,canadas-regions
CIT-0907,q-cr-007,canadas-regions
CIT-0908,q-cr-010,canadas-regions
CIT-0909,q-cr-063,canadas-regions
CIT-0910,Q357,canadas-regions
CIT-0911,q-cr-033,canadas-regions
CIT-0912,q-cr-006,canadas-regions
CIT-0913,Q481,canadas-regions
CIT-0914,q-cr-016,canadas-regions
CIT-0915,q-cr-024,canadas-regions
CIT-0916,q-cr-008,canadas-regions
CIT-0917,Q352,canadas-regions
CIT-0918,q-cr-015,canadas-regions
CIT-0919,Q290,canadas-regions
CIT-0920,q-cr-059,canadas-regions
CIT-0921,Q359,applying-for-citizenship
CIT-0922,Q360,applying-for-citizenship
CIT-0923,Q485,applying-for-citizenship
CIT-0924,Q358,applying-for-citizenship
CIT-0925,Q494,authorities
